出现时间(s),模式,字体大小,颜色,时间戳,弹幕池,用户ID,rowID,弹幕内容
6686.58900,1,25,16777215,1610119181,0,308c215b,1744226327608737282,10,这里伞倒了，证明了伞的质量很差
7530.38900,5,25,16777215,1606623340,0,d6c42a89,1744223711310953984,10,二哥：我TM谢谢你
2681.28600,5,25,15138834,1620563091,0,82097d8f,1744235992669273601,10,翻译：我要是死了，你也不会有路走
4711.30900,5,25,16646914,1618046628,0,f867dfaf,1744232909931331072,10,灯火阑珊，他蓦然回首，而我隐藏在灯影里
2428.75400,5,25,38979,1616320436,0,204e9a04,1744230910296899074,10,指姜文步子太大，这样师爷捞不到钱
4683.48900,5,25,16777215,1615627714,0,c2035521,1744230408205155840,10,看考分的你↓
1867.55100,5,25,16777215,1620044032,0,dd3fe230,1744235282456165888,10,棺方逝角
1375.25400,5,25,9033215,1615194614,0,14bca2ce,1744230150515506688,10,是老板让你加班的吗 ？
2819.29600,5,25,16707842,1620060865,0,f5751b86,1744235336235531776,10,西厂级理解
3268.11200,5,18,38979,1612731064,0,ff7af87d,1744228420281220608,10,这是师爷全剧唯一一次动了杀心
2132.93000,5,25,15138834,1609819484,0,58d05057,1744226045499850240,10,只有中间的瑟瑟发抖，只有他会死
838.94500,1,25,16777215,1616836311,0,76074a7f,1744231374111424000,10,你怎么睡得着的，这个阶段你睡得着觉？
3938.74700,5,25,16776960,1612685979,0,19f42231,1744228372633927169,10,苦 口 婆 心 语 重 心 长
6122.27900,5,25,16777215,1616159662,0,148809ed,1744230721561607683,10,这句都专门设暗语可还行
1194.79500,1,25,16707842,1594615287,0,adfcbf2e,1744189716820966912,10,姜文，你又欺负姜武哈哈哈哈
2326.22600,1,25,14811775,1604519305,0,92692a9a,1744220913424973312,10,三条腿，分别是:人口贩卖  烟土   军火
5250.40900,1,25,15138834,1613800272,0,a8fa656a,1744229383318584832,10,这里大哥很生气，因为知道队伍变了
2464.28600,5,25,16777215,1602140463,0,5465569c,1744218015974604288,10,对半分的暗示就是火拼，没赚到只能互相吞货火拼了
3476.06400,5,25,16707842,1616588362,0,32c69853,1744231115180260864,10,给我也整一个.jpg
3600.83500,5,25,16740868,1620309727,0,5b4a3f8,1744235629518044674,10,毕竟周润发是赌神，怎么跟他赌
4153.60100,1,25,15138834,1612537002,0,92c4264e,1744228278715072000,10,开矿的不识宝石，俩人口音也不一样，八岁孩子长成这样，你品，你细品
2194.30900,5,25,38979,1616319797,0,204e9a04,1744230909911023105,10,“还”细品，师爷只想谈挣钱的事
1887.89000,5,25,16776960,1612785741,0,6c76764e,1744228467257425412,10,棺       方       视        角
4811.51300,5,25,16777215,1614412378,0,2e854404,1744229762651438592,10,姜文经典双tmd句式
5355.95200,5,25,16707842,1632099508,0,c514b729,1744255069697654272,10,《好好的被两只猴耍耍》
2948.94800,5,25,15138834,1632495438,0,c06b0002,1744255548678782464,10,《烂 醉 如 泥》
2819.73400,5,25,15138834,1615866235,0,d6a08a77,1744230575088123392,10,黄四郎：“md还好我问了一句”
1421.28400,5,25,16707842,1631418618,0,39bb640b,1744254241448443392,10,翻译：你真的是师爷吗，我看着不像
1353.09500,5,25,4351678,1644639233,0,8962546,1744268351884017152,10,贝多芬退圈了，退的生物圈
5260.44200,5,25,15138834,1629989708,0,deb8e01e,1744252076600376832,10,拿枪指着好人算什么胆大，拿枪指着恶霸才算胆子大
7380.20200,5,25,15138834,1641030754,0,4e6601b6,1744264569343229442,10,“你是个体面人，我不想下手太狠”
7.31200,1,25,16777215,1585750789,0,509750c,1744171972885003776,10,全文背诵
4066.95000,5,25,41194,1665494946,0,11110c72,1744286261671149056,10,冷知识：这个是制片人
639.92300,5,25,16707842,1620549597,0,54b9306f,1744235924662828544,10,你    才    是    来    者
3252.34300,5,25,16707842,1649592891,0,91de7ba1,1744271681205091841,10,全是技巧，没有感情
6084.81700,5,25,16777215,1630215987,0,306d36d2,1744252575185681920,10,体 测 现 状
3123.48600,5,25,15138834,1643560799,0,7ccdf04a,1744267172353457664,10,突然发现事情的真相
7502.70200,1,25,16777215,1621364858,0,9546bc6f,1744236863163514369,10,看到这里最伤心，成功之后才知道自己始终是一个人。杀人诛心把自己也诛了
7165.64900,5,25,16776960,1645193664,0,170aef34,1744268772245552640,10,砍的时候就你喊得最凶
6046.95000,1,25,16707842,1638610821,0,822109d6,1744262120188460545,10,二哥和六子，是值得亲赖的手下，所以牧之两次都特别生气
1510.93400,1,25,16777215,1632915451,0,76ec5574,1744255973905710592,10,小凤仙是蔡锷的情人，张麻子和黄老爷都追随过蔡锷
4188.68400,5,25,16765698,1635331435,0,459e8b89,1744258435802775041,10,”我常因不够变态而和他们格格不入“
2107.27600,1,25,16777215,1620008617,0,1162a1be,1744235157658844672,10,注意：30年代想知道“介错人”这个概念只有真的去过日本，张麻子和黄四郎都去过日本
770.69400,5,25,16707842,1643531938,0,4c5dd855,1744267121703042560,10,让你模仿，没特么让你超越
2019.88200,5,25,16755202,1654680593,0,e456fe8e,1744275393566785024,10,《队内语音》
6244.77200,1,25,16777215,1646233553,0,7c2da7f9,1744269348584865280,10,纯正的地狱笑话
1084.89700,5,25,15138834,1632036662,0,339d6b6e,1744254946175401473,10,鲁迅《藤野先生》此后回到中国来，我看见那些看枪毙的人，他们也何尝不醉酒似的喝采
734.08200,5,25,16777215,1650436821,0,703bfcfc,1744272279430282754,10,刚才，你有在看我罢(
4742.69000,5,25,16776960,1643804102,0,eb5d369a,1744267486020288000,10,灯火阑珊，他蓦然回首，而我隐藏在灯影里
2172.19700,1,25,16777215,1641204407,0,61fe1bd4,1744264826277903872,10,县长看上什么了，随便看
1429.30900,5,25,38979,1640613081,0,7473737e,1744264125166435840,10,我亲眼看见我自己淹死的
4964.58400,5,25,15138834,1630142214,0,936a2a3f,1744252392674737664,10,这个地方应该是师爷心意诚服了，想知道这么有才能的人怎么就做了麻匪
367.37600,5,25,16707842,1571739560,0,9976c289,1744161098556292608,10,数学老师很高兴
3044.99500,5,25,38979,1658150080,0,194dd142,1744279305191472640,10,守活寡↓
7000.91400,5,25,15138834,1629939638,0,9f7ecc70,1744251927492869632,10,《这特么是四个人?》
